epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.734,1.37349,0.99264,1.2943,0.7856,0.8149,0.85846,0.49271,1.42186,1.6622,1.45255,0.0700815,0.00332428,0.00332428
2,281.758,1.28917,0.78704,1.28042,0.61254,0.81956,0.74509,0.44337,1.37179,1.59451,1.32023,0.0400812,0.00665724,0.00665724
3,420.685,1.26571,0.7293,1.27031,0.94005,0.92608,0.95387,0.60295,1.2936,0.75261,1.26283,0.0100793,0.00998872,0.00998872
4,558.823,1.21921,0.66933,1.24707,0.8647,0.86676,0.92834,0.60941,1.28855,0.77011,1.38323,0.009995,0.009995,0.009995
5,697.875,1.20167,0.64888,1.23304,0.97313,0.96982,0.98362,0.65915,1.153,0.60804,1.1692,0.00999112,0.00999112,0.00999112
6,835.059,1.19507,0.61633,1.23111,0.95344,0.95351,0.9789,0.62818,1.22873,0.64923,1.24956,0.00998613,0.00998613,0.00998613
7,972.309,1.18048,0.60763,1.22406,0.98576,0.96694,0.9871,0.67242,1.17106,0.56963,1.22074,0.00998003,0.00998003,0.00998003
8,1109.38,1.1596,0.59174,1.2075,0.97281,0.98079,0.98813,0.67946,1.14336,0.54044,1.18117,0.00997282,0.00997282,0.00997282
9,1247.05,1.15099,0.57432,1.20251,0.98474,0.9768,0.99269,0.69214,1.11987,0.52411,1.15316,0.00996452,0.00996452,0.00996452
10,1385.8,1.13897,0.5636,1.19795,0.98402,0.96796,0.98775,0.68868,1.14668,0.53593,1.19793,0.00995511,0.00995511,0.00995511
11,1523.19,1.14629,0.55898,1.19895,0.61492,0.45918,0.44415,0.25687,2.28872,1.69559,19.5115,0.0099446,0.0099446,0.0099446
12,1661.42,1.13694,0.56718,1.19491,0.97808,0.98079,0.99111,0.68473,1.112,0.53441,1.16128,0.00993299,0.00993299,0.00993299
13,1797.74,1.12632,0.5496,1.19014,0.99002,0.98151,0.99387,0.69342,1.11235,0.50274,1.14449,0.00992029,0.00992029,0.00992029
14,1934.77,1.114,0.53296,1.18173,0.99285,0.98545,0.99461,0.6984,1.10963,0.49491,1.14452,0.0099065,0.0099065,0.0099065
15,2071.59,1.12749,0.53441,1.20065,0.99007,0.97672,0.99352,0.68397,1.13647,0.50954,1.21555,0.00989163,0.00989163,0.00989163
16,2210.09,1.1331,0.53016,1.19737,0.98713,0.98189,0.99294,0.70719,1.09914,0.48946,1.16146,0.00987566,0.00987566,0.00987566
17,2346.84,1.1139,0.52222,1.19072,0.98876,0.97264,0.99114,0.69044,1.11783,0.50085,1.21768,0.00985862,0.00985862,0.00985862
18,2483.17,1.10063,0.51555,1.17751,0.99412,0.98443,0.9948,0.71952,1.07165,0.45832,1.14205,0.00984051,0.00984051,0.00984051
19,2619.91,1.09418,0.50702,1.17869,0.99237,0.98399,0.99422,0.71706,1.07459,0.45457,1.15597,0.00982132,0.00982132,0.00982132
20,2756.18,1.09333,0.50604,1.17065,0.99212,0.98196,0.99409,0.721,1.07202,0.46353,1.13845,0.00980107,0.00980107,0.00980107
21,2892.91,1.09523,0.50718,1.1805,0.99121,0.98429,0.99442,0.70942,1.08326,0.48024,1.1637,0.00977975,0.00977975,0.00977975
22,3029.34,1.0942,0.4982,1.17975,0.99355,0.9856,0.99438,0.71268,1.08054,0.45129,1.14195,0.00975738,0.00975738,0.00975738
23,3165.6,1.08559,0.49182,1.17816,0.98876,0.98778,0.99396,0.71664,1.06556,0.45087,1.18629,0.00973396,0.00973396,0.00973396
24,3301.84,1.08908,0.48946,1.1795,0.99214,0.98487,0.99446,0.72442,1.07129,0.45658,1.15219,0.0097095,0.0097095,0.0097095
25,3440.22,1.08168,0.49466,1.17718,0.9943,0.98487,0.99437,0.7113,1.04951,0.46875,1.13685,0.00968399,0.00968399,0.00968399
26,3576.59,1.08942,0.48375,1.17611,0.99103,0.98894,0.99436,0.71813,1.07957,0.44596,1.19569,0.00965746,0.00965746,0.00965746
27,3714.77,1.07866,0.4758,1.17793,0.99181,0.9874,0.99394,0.70881,1.07064,0.44748,1.17701,0.0096299,0.0096299,0.0096299
28,3851.38,1.08441,0.47994,1.17555,0.98039,0.97206,0.98876,0.69685,1.10889,0.49271,1.19436,0.00960131,0.00960131,0.00960131
29,3988.27,1.06958,0.47671,1.1655,0.99237,0.98472,0.9938,0.72011,1.05443,0.44464,1.16106,0.00957172,0.00957172,0.00957172
30,4126.22,1.06879,0.46764,1.16083,0.99122,0.98894,0.99396,0.71682,1.0763,0.44361,1.17338,0.00954112,0.00954112,0.00954112
31,4262.29,1.06823,0.47176,1.16573,0.99296,0.98586,0.99457,0.73093,1.065,0.42947,1.15163,0.00950953,0.00950953,0.00950953
32,4398.89,1.06679,0.47043,1.16203,0.99294,0.98295,0.99468,0.72996,1.07795,0.44062,1.17595,0.00947695,0.00947695,0.00947695
33,4536.84,1.06749,0.47363,1.17606,0.99455,0.98719,0.99444,0.72122,1.05413,0.42406,1.16211,0.00944338,0.00944338,0.00944338
34,4673.22,1.06527,0.46981,1.16687,0.9913,0.98603,0.99456,0.71103,1.06999,0.44418,1.15603,0.00940884,0.00940884,0.00940884
35,4809.46,1.05285,0.46249,1.15986,0.99139,0.9901,0.9947,0.72206,1.05629,0.42515,1.13386,0.00937334,0.00937334,0.00937334
36,4947.39,1.0568,0.46431,1.15735,0.99528,0.98428,0.99467,0.72158,1.04633,0.41264,1.13229,0.00933688,0.00933688,0.00933688
37,5083.45,1.06225,0.45716,1.16343,0.99184,0.99107,0.99464,0.72835,1.05944,0.41607,1.17666,0.00929948,0.00929948,0.00929948
38,5219.77,1.05771,0.45838,1.15311,0.99298,0.98762,0.99398,0.733,1.04418,0.41358,1.1484,0.00926113,0.00926113,0.00926113
39,5356.29,1.05571,0.45806,1.16064,0.99431,0.98661,0.9948,0.73011,1.04487,0.41659,1.14566,0.00922186,0.00922186,0.00922186
40,5492.39,1.04662,0.45308,1.15349,0.99171,0.98894,0.99486,0.73016,1.04641,0.41266,1.14447,0.00918167,0.00918167,0.00918167
41,5628.47,1.04957,0.45492,1.15057,0.9907,0.98719,0.99446,0.72982,1.04829,0.41098,1.17002,0.00914058,0.00914058,0.00914058
42,5764.58,1.04691,0.44634,1.15405,0.99521,0.98836,0.99475,0.73501,1.05436,0.40547,1.17058,0.00909858,0.00909858,0.00909858
43,5902.58,1.04283,0.44779,1.15653,0.99415,0.98907,0.99475,0.7247,1.05727,0.40554,1.15316,0.0090557,0.0090557,0.0090557
44,6039,1.03853,0.44759,1.1539,0.99531,0.9889,0.99454,0.73017,1.03242,0.40948,1.14494,0.00901194,0.00901194,0.00901194
45,6175.12,1.03992,0.44288,1.15206,0.99431,0.98952,0.99474,0.73894,1.03513,0.40063,1.1627,0.00896731,0.00896731,0.00896731
46,6313.44,1.02825,0.43827,1.14852,0.99544,0.98603,0.99471,0.72875,1.04628,0.40376,1.16859,0.00892183,0.00892183,0.00892183
47,6449.71,1.04297,0.44199,1.16003,0.99346,0.98952,0.99477,0.73863,1.04203,0.39348,1.16418,0.0088755,0.0088755,0.0088755
48,6586.05,1.03995,0.44293,1.15148,0.99454,0.98661,0.99443,0.73236,1.03303,0.40003,1.16677,0.00882834,0.00882834,0.00882834
49,6723.98,1.03403,0.4402,1.14746,0.99126,0.9897,0.99475,0.73529,1.03667,0.40409,1.15125,0.00878036,0.00878036,0.00878036
50,6860.07,1.02725,0.4354,1.14857,0.99301,0.99253,0.99463,0.73454,1.05504,0.39992,1.16495,0.00873157,0.00873157,0.00873157
51,6996.27,1.02799,0.43487,1.14795,0.99531,0.9889,0.99488,0.73855,1.03811,0.38645,1.13853,0.00868198,0.00868198,0.00868198
52,7134.42,1.0302,0.42932,1.15223,0.99185,0.99216,0.99479,0.74774,1.03407,0.38516,1.1444,0.00863161,0.00863161,0.00863161
53,7271.06,1.01956,0.43092,1.14546,0.9934,0.99127,0.99468,0.7445,1.02599,0.3892,1.15258,0.00858046,0.00858046,0.00858046
54,7407.42,1.01988,0.42703,1.14383,0.99242,0.99052,0.99477,0.73168,1.04299,0.38507,1.16155,0.00852856,0.00852856,0.00852856
55,7543.72,1.02983,0.42962,1.15333,0.99075,0.99302,0.99462,0.74057,1.02718,0.38656,1.15654,0.0084759,0.0084759,0.0084759
56,7679.86,1.02382,0.43065,1.15191,0.99357,0.98937,0.99472,0.73906,1.03185,0.38264,1.17417,0.00842252,0.00842252,0.00842252
57,7817.92,1.013,0.41949,1.14799,0.99129,0.99387,0.99461,0.73952,1.03024,0.37823,1.16937,0.00836841,0.00836841,0.00836841
58,7954.46,1.0107,0.42426,1.13956,0.99127,0.99194,0.99457,0.74271,1.02965,0.38189,1.13729,0.00831359,0.00831359,0.00831359
59,8092.47,1.01297,0.42149,1.13666,0.99415,0.98845,0.99446,0.74546,1.02826,0.38599,1.128,0.00825808,0.00825808,0.00825808
60,8228.82,1.00903,0.42008,1.14344,0.99068,0.99017,0.99456,0.73777,1.03649,0.37867,1.17645,0.00820189,0.00820189,0.00820189
61,8365,0.99752,0.41966,1.13309,0.99299,0.98925,0.9946,0.74634,1.02964,0.37682,1.13974,0.00814503,0.00814503,0.00814503
62,8503.41,1.00558,0.41574,1.12771,0.99352,0.99069,0.99461,0.74021,1.02791,0.37442,1.14806,0.00808752,0.00808752,0.00808752
63,8639.64,1.00198,0.41806,1.13176,0.99416,0.99102,0.99439,0.74401,1.03494,0.3733,1.15002,0.00802938,0.00802938,0.00802938
64,8776,1.00588,0.41422,1.13846,0.99384,0.99185,0.9942,0.74119,1.02664,0.37032,1.15205,0.0079706,0.0079706,0.0079706
