epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,411.438,0.74678,0.61731,1.00543,0.90449,0.72361,0.82108,0.73829,0.45103,0.33793,0.84828,0.0700278,0.00333025,0.00333025
2,818.907,0.61151,0.43737,0.94116,0.80575,0.87341,0.90638,0.84128,0.36895,0.24609,0.81374,0.0400274,0.00666321,0.00666321
3,1230.75,0.54544,0.39002,0.91232,0.88568,0.9475,0.96083,0.90212,0.35057,0.21379,0.80721,0.0100255,0.0099947,0.0099947
4,1646.33,0.50142,0.35951,0.89676,0.92179,0.97422,0.97178,0.92301,0.30385,0.17738,0.79623,0.009995,0.009995,0.009995
5,2050.21,0.46502,0.33301,0.8837,0.92763,0.90678,0.96324,0.91489,0.29796,0.18346,0.79398,0.00999112,0.00999112,0.00999112
6,2458.76,0.43898,0.32038,0.87408,0.89425,0.96772,0.97368,0.93558,0.2701,0.16972,0.7887,0.00998613,0.00998613,0.00998613
7,2929.87,0.42149,0.30658,0.86749,0.92527,0.94337,0.96266,0.92554,0.26412,0.16398,0.78562,0.00998003,0.00998003,0.00998003
8,3387.82,0.40896,0.29856,0.864,0.92042,0.934,0.97851,0.94244,0.25479,0.15964,0.78317,0.00997282,0.00997282,0.00997282
9,3794.82,0.39441,0.28817,0.85846,0.94285,0.95603,0.97777,0.94403,0.25096,0.15029,0.78187,0.00996452,0.00996452,0.00996452
10,4195.16,0.38362,0.28282,0.85575,0.92894,0.94796,0.97176,0.93169,0.25297,0.14962,0.78282,0.00995511,0.00995511,0.00995511
11,4597.16,0.37694,0.27946,0.85371,0.93455,0.96264,0.97536,0.94051,0.25171,0.14513,0.78283,0.0099446,0.0099446,0.0099446
12,5010.05,0.36812,0.27199,0.8509,0.93199,0.95658,0.97764,0.94711,0.24201,0.14208,0.77968,0.00993299,0.00993299,0.00993299
13,5472.46,0.36321,0.2703,0.84897,0.94478,0.96215,0.97678,0.94336,0.24071,0.14071,0.77928,0.00992029,0.00992029,0.00992029
14,5874.79,0.35604,0.26277,0.84629,0.90839,0.97598,0.97879,0.95031,0.23781,0.13774,0.77895,0.0099065,0.0099065,0.0099065
15,6338.98,0.35184,0.25989,0.84466,0.90757,0.9746,0.98109,0.95313,0.23506,0.13659,0.77783,0.00989163,0.00989163,0.00989163
16,6748.31,0.34951,0.2586,0.84398,0.95784,0.95448,0.98073,0.94999,0.23503,0.13449,0.77769,0.00987566,0.00987566,0.00987566
17,7154.19,0.34108,0.25256,0.84251,0.90846,0.95651,0.98005,0.95239,0.23295,0.13303,0.77801,0.00985862,0.00985862,0.00985862
18,7562.11,0.34575,0.25603,0.84336,0.94669,0.972,0.98115,0.95282,0.2339,0.13157,0.77717,0.00984051,0.00984051,0.00984051
19,8038.3,0.34178,0.25191,0.84129,0.96798,0.95246,0.98077,0.9567,0.231,0.13046,0.77681,0.00982132,0.00982132,0.00982132
20,8438.2,0.33464,0.24924,0.84016,0.94539,0.97147,0.98132,0.95585,0.22739,0.12737,0.77601,0.00980107,0.00980107,0.00980107
21,8841.25,0.33076,0.24575,0.8385,0.93569,0.97652,0.97947,0.95403,0.2234,0.12533,0.77517,0.00977975,0.00977975,0.00977975
22,9242.14,0.32448,0.24045,0.83686,0.9544,0.95755,0.97549,0.95357,0.22245,0.12233,0.77464,0.00975738,0.00975738,0.00975738
23,9703.59,0.32625,0.23893,0.83715,0.96268,0.95907,0.98351,0.96085,0.2205,0.12166,0.77412,0.00973396,0.00973396,0.00973396
24,10124.6,0.32375,0.23894,0.83673,0.96885,0.94886,0.98135,0.95632,0.21984,0.12108,0.77411,0.0097095,0.0097095,0.0097095
25,10530,0.32085,0.2365,0.8364,0.95241,0.96018,0.98156,0.95979,0.22044,0.12159,0.77408,0.00968399,0.00968399,0.00968399
26,10928.3,0.31896,0.23599,0.83575,0.95974,0.96234,0.98298,0.95878,0.21966,0.12087,0.77396,0.00965746,0.00965746,0.00965746
27,11335,0.31568,0.23301,0.83484,0.94732,0.97353,0.98129,0.96029,0.21838,0.1197,0.77366,0.0096299,0.0096299,0.0096299
28,11739,0.31343,0.23095,0.83415,0.94681,0.96959,0.98156,0.95896,0.21612,0.11831,0.77318,0.00960131,0.00960131,0.00960131
29,12153.2,0.31429,0.2307,0.83391,0.9541,0.96645,0.98162,0.96098,0.21582,0.11698,0.77307,0.00957172,0.00957172,0.00957172
30,12552,0.31211,0.22987,0.83386,0.96494,0.9642,0.9862,0.96369,0.2151,0.11669,0.77287,0.00954112,0.00954112,0.00954112
31,12966.1,0.30908,0.22784,0.83259,0.94998,0.96861,0.98285,0.9626,0.21542,0.11728,0.77283,0.00950953,0.00950953,0.00950953
32,13365.2,0.30687,0.22697,0.83228,0.96553,0.95093,0.98262,0.96173,0.21409,0.11587,0.77253,0.00947695,0.00947695,0.00947695
33,13769.2,0.30739,0.22655,0.83229,0.96746,0.95402,0.98298,0.96065,0.2135,0.11525,0.77227,0.00944338,0.00944338,0.00944338
34,14175.2,0.30786,0.22426,0.83235,0.95071,0.96822,0.98177,0.96108,0.21345,0.11551,0.77223,0.00940884,0.00940884,0.00940884
35,14641.4,0.30253,0.22226,0.83088,0.95063,0.96896,0.98313,0.96186,0.21185,0.11529,0.77183,0.00937334,0.00937334,0.00937334
36,15043.3,0.30207,0.22203,0.83146,0.94941,0.96751,0.98167,0.96365,0.21177,0.11426,0.77177,0.00933688,0.00933688,0.00933688
37,15449.8,0.30004,0.2204,0.8289,0.95669,0.96828,0.98276,0.96412,0.21083,0.1143,0.77156,0.00929948,0.00929948,0.00929948
38,15868.9,0.29691,0.21736,0.82919,0.9661,0.95897,0.98296,0.96537,0.21063,0.1124,0.77136,0.00926113,0.00926113,0.00926113
39,16357.6,0.29638,0.21708,0.82899,0.9545,0.96573,0.98376,0.9648,0.20951,0.11256,0.77102,0.00922186,0.00922186,0.00922186
40,16780.5,0.29353,0.21594,0.82813,0.96467,0.95722,0.98387,0.96655,0.20832,0.11192,0.77089,0.00918167,0.00918167,0.00918167
41,17199,0.29242,0.21443,0.82749,0.96668,0.95429,0.98189,0.96434,0.20811,0.11139,0.77087,0.00914058,0.00914058,0.00914058
42,17601.5,0.29416,0.216,0.82913,0.96188,0.95543,0.98411,0.96681,0.20779,0.11083,0.77087,0.00909858,0.00909858,0.00909858
43,18038.6,0.29156,0.21514,0.82781,0.95937,0.95773,0.98254,0.96407,0.20738,0.1104,0.77069,0.0090557,0.0090557,0.0090557
44,18440.1,0.29128,0.21324,0.82829,0.96438,0.95554,0.98428,0.96622,0.2068,0.10998,0.77054,0.00901194,0.00901194,0.00901194
45,18842.6,0.28961,0.21248,0.82729,0.9533,0.96476,0.98327,0.96549,0.20679,0.10981,0.77056,0.00896731,0.00896731,0.00896731
