epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.473,0.74036,0.94816,1.01845,0.54398,0.53393,0.56531,0.45374,0.71064,0.93418,1.05863,0.0700937,0.00332292,0.00332292
2,270.553,0.65301,0.62628,0.96753,0.86672,0.85193,0.92238,0.80816,0.52227,0.41874,0.95319,0.0400934,0.00665588,0.00665588
3,404.849,0.6085,0.56014,0.95143,0.91467,0.86363,0.94332,0.82991,0.54466,0.3522,0.94882,0.0100915,0.00998737,0.00998737
4,542.579,0.57969,0.50967,0.9389,0.91018,0.8873,0.92563,0.80797,0.54686,0.34501,0.95319,0.009995,0.009995,0.009995
5,702.395,0.55397,0.48586,0.92794,0.87679,0.91687,0.9526,0.85047,0.45723,0.31334,0.91808,0.00999112,0.00999112,0.00999112
6,839.003,0.53978,0.46992,0.92473,0.89049,0.94396,0.97283,0.87018,0.47999,0.2975,0.91556,0.00998613,0.00998613,0.00998613
7,983.513,0.52995,0.45754,0.92131,0.89531,0.93838,0.97155,0.87814,0.44111,0.27726,0.89873,0.00998003,0.00998003,0.00998003
8,1120.46,0.51462,0.44066,0.91194,0.92801,0.92379,0.95789,0.86663,0.44681,0.28433,0.89099,0.00997282,0.00997282,0.00997282
9,1289.29,0.50452,0.4218,0.90751,0.9562,0.92089,0.96772,0.89244,0.39653,0.25448,0.87484,0.00996452,0.00996452,0.00996452
10,1425.39,0.50291,0.41783,0.90556,0.94762,0.91172,0.96412,0.87731,0.43065,0.2906,0.89337,0.00995511,0.00995511,0.00995511
11,1589.67,0.48728,0.41156,0.90256,0.88595,0.95642,0.97022,0.88355,0.42289,0.25813,0.88919,0.0099446,0.0099446,0.0099446
12,1723.77,0.4982,0.41239,0.90251,0.94888,0.95586,0.97411,0.90109,0.38298,0.232,0.86818,0.00993299,0.00993299,0.00993299
13,1860.6,0.48014,0.39599,0.89961,0.95568,0.92782,0.97914,0.90413,0.37638,0.22445,0.86728,0.00992029,0.00992029,0.00992029
14,2002.62,0.47988,0.39941,0.9014,0.93296,0.9542,0.97723,0.899,0.39507,0.24115,0.87545,0.0099065,0.0099065,0.0099065
15,2140.28,0.47965,0.39593,0.89833,0.94236,0.95288,0.97898,0.90964,0.37208,0.22968,0.86308,0.00989163,0.00989163,0.00989163
16,2272.8,0.47234,0.38562,0.89709,0.94097,0.97049,0.97701,0.90677,0.39021,0.2308,0.86979,0.00987566,0.00987566,0.00987566
17,2408.9,0.46961,0.3796,0.89329,0.96136,0.94863,0.97882,0.90224,0.37974,0.23063,0.86797,0.00985862,0.00985862,0.00985862
18,2550.05,0.46181,0.37553,0.89377,0.92604,0.95934,0.98204,0.90652,0.4065,0.22883,0.87877,0.00984051,0.00984051,0.00984051
19,2686.96,0.46584,0.37859,0.89348,0.95361,0.9582,0.98071,0.91478,0.35953,0.20912,0.85735,0.00982132,0.00982132,0.00982132
20,2852.42,0.45531,0.37285,0.88865,0.96048,0.96683,0.98172,0.9094,0.38431,0.22341,0.87153,0.00980107,0.00980107,0.00980107
21,2988.48,0.45661,0.36834,0.8886,0.95515,0.94982,0.97455,0.90314,0.38244,0.22582,0.86649,0.00977975,0.00977975,0.00977975
22,3142.42,0.44357,0.36269,0.8853,0.95849,0.93345,0.96608,0.90235,0.36405,0.21487,0.85989,0.00975738,0.00975738,0.00975738
23,3280.3,0.44994,0.36138,0.88806,0.96194,0.96822,0.9814,0.91527,0.36284,0.21783,0.86059,0.00973396,0.00973396,0.00973396
24,3412.25,0.44343,0.3593,0.88593,0.95529,0.96186,0.98007,0.91652,0.35782,0.20524,0.85973,0.0097095,0.0097095,0.0097095
25,3548.42,0.44566,0.36008,0.8853,0.96048,0.93177,0.98285,0.92435,0.34817,0.20204,0.85341,0.00968399,0.00968399,0.00968399
26,3682.9,0.43825,0.35475,0.88285,0.95656,0.96383,0.97965,0.915,0.36778,0.21853,0.86123,0.00965746,0.00965746,0.00965746
27,3820.17,0.44182,0.35692,0.88779,0.97168,0.91806,0.97994,0.91205,0.36194,0.21233,0.85621,0.0096299,0.0096299,0.0096299
28,3948.26,0.43827,0.34833,0.88206,0.95912,0.9647,0.9825,0.91931,0.36922,0.212,0.85792,0.00960131,0.00960131,0.00960131
29,4086.46,0.43457,0.34549,0.88302,0.93,0.96506,0.97977,0.91966,0.35026,0.19934,0.85237,0.00957172,0.00957172,0.00957172
30,4218.29,0.43769,0.35784,0.88533,0.92825,0.9537,0.9769,0.90923,0.36219,0.21771,0.85928,0.00954112,0.00954112,0.00954112
31,4356.07,0.43848,0.34436,0.88449,0.95257,0.94376,0.97526,0.90254,0.38121,0.21362,0.86365,0.00950953,0.00950953,0.00950953
32,4488.09,0.4277,0.34233,0.88032,0.92578,0.97795,0.98249,0.92544,0.34745,0.19924,0.85399,0.00947695,0.00947695,0.00947695
33,4625.16,0.42434,0.34044,0.88024,0.91845,0.96918,0.98337,0.92455,0.34642,0.20477,0.85242,0.00944338,0.00944338,0.00944338
34,4791.95,0.42659,0.34193,0.87983,0.96722,0.96526,0.97814,0.92045,0.34299,0.19811,0.85096,0.00940884,0.00940884,0.00940884
35,4986.12,0.42365,0.33688,0.87803,0.93408,0.97424,0.9819,0.92406,0.34631,0.19494,0.85084,0.00937334,0.00937334,0.00937334
36,5122.32,0.42099,0.33569,0.88059,0.96816,0.95395,0.98172,0.9183,0.35583,0.19867,0.85893,0.00933688,0.00933688,0.00933688
37,5275.23,0.41671,0.33478,0.87754,0.9399,0.97668,0.98571,0.9277,0.34448,0.19076,0.85234,0.00929948,0.00929948,0.00929948
38,5447.56,0.42044,0.33378,0.87835,0.96505,0.96817,0.98252,0.92674,0.33065,0.18933,0.84724,0.00926113,0.00926113,0.00926113
39,5587.79,0.41658,0.3274,0.87829,0.96412,0.96295,0.98338,0.92726,0.34142,0.19142,0.85193,0.00922186,0.00922186,0.00922186
40,5781.46,0.41785,0.33531,0.87714,0.9605,0.97003,0.98103,0.92702,0.33127,0.18863,0.84716,0.00918167,0.00918167,0.00918167
41,5918.67,0.41974,0.33211,0.88037,0.94583,0.96853,0.98087,0.92825,0.33206,0.18474,0.84621,0.00914058,0.00914058,0.00914058
42,6051.15,0.41356,0.325,0.87592,0.95082,0.9704,0.98293,0.92924,0.33097,0.18746,0.84673,0.00909858,0.00909858,0.00909858
43,6184.23,0.41551,0.32776,0.87641,0.94931,0.95376,0.9811,0.92494,0.3406,0.19327,0.85163,0.0090557,0.0090557,0.0090557
44,6347.66,0.40994,0.32428,0.87579,0.94835,0.97007,0.98504,0.93155,0.33061,0.18509,0.84611,0.00901194,0.00901194,0.00901194
45,6485.14,0.41146,0.32712,0.87622,0.96637,0.97117,0.98359,0.93142,0.33114,0.18536,0.84685,0.00896731,0.00896731,0.00896731
46,6621.16,0.40883,0.32206,0.87566,0.95442,0.97604,0.98293,0.92863,0.32897,0.18133,0.84669,0.00892183,0.00892183,0.00892183
47,6756.12,0.40783,0.31801,0.87209,0.9636,0.97239,0.98361,0.93238,0.32657,0.18088,0.84454,0.0088755,0.0088755,0.0088755
48,6892.34,0.40286,0.3183,0.87252,0.96632,0.96812,0.98402,0.93449,0.32371,0.1782,0.84417,0.00882834,0.00882834,0.00882834
49,7062.36,0.40231,0.31917,0.8727,0.93581,0.97163,0.9839,0.93359,0.3298,0.17982,0.84608,0.00878036,0.00878036,0.00878036
50,7198,0.40163,0.31363,0.87205,0.95679,0.97237,0.98617,0.93425,0.32547,0.17979,0.84554,0.00873157,0.00873157,0.00873157
